date,expected,month,day,weekday
2023-03-03,77,3,3,4
2023-03-03,77,3,3,4
2023-03-03,77,3,3,4
2023-03-03,77,3,3,4
2023-03-03,77,3,3,4
2023-03-04,60,3,4,5
2023-03-04,60,3,4,5
2023-03-04,60,3,4,5
2023-03-04,60,3,4,5
2023-03-04,60,3,4,5
2023-03-04,60,3,4,5
2023-03-05,68,3,5,6
2023-03-05,68,3,5,6
2023-03-05,68,3,5,6
2023-03-05,68,3,5,6
2023-03-05,68,3,5,6
2023-03-05,68,3,5,6
2023-03-06,71,3,6,0
2023-03-06,71,3,6,0
2023-03-06,71,3,6,0
2023-03-06,71,3,6,0
2023-03-06,71,3,6,0
2023-03-06,71,3,6,0
2023-03-07,76,3,7,1
2023-03-07,76,3,7,1
2023-03-07,76,3,7,1
2023-03-07,76,3,7,1
2023-03-07,76,3,7,1
2023-03-07,76,3,7,1
2023-03-08,63,3,8,2
2023-03-08,63,3,8,2
2023-03-08,63,3,8,2
2023-03-08,63,3,8,2
2023-03-08,63,3,8,2
2023-03-08,63,3,8,2
2023-03-09,70,3,9,3
2023-03-09,70,3,9,3
2023-03-09,70,3,9,3
2023-03-09,70,3,9,3
2023-03-09,70,3,9,3
2023-03-09,70,3,9,3
2023-03-10,73,3,10,4
2023-03-10,73,3,10,4
2023-03-10,73,3,10,4
2023-03-10,73,3,10,4
2023-03-10,73,3,10,4
2023-03-10,73,3,10,4
2023-03-11,68,3,11,5
2023-03-11,68,3,11,5
2023-03-11,68,3,11,5
2023-03-11,68,3,11,5
2023-03-11,68,3,11,5
2023-03-11,68,3,11,5
2023-03-12,69,3,12,6
2023-03-12,69,3,12,6
2023-03-12,69,3,12,6
2023-03-12,69,3,12,6
2023-03-12,69,3,12,6
2023-03-12,69,3,12,6
2023-03-13,52,3,13,0
2023-03-13,52,3,13,0
2023-03-13,52,3,13,0
2023-03-13,52,3,13,0
2023-03-13,52,3,13,0
2023-03-13,52,3,13,0
2023-03-14,55,3,14,1
2023-03-14,55,3,14,1
2023-03-14,55,3,14,1
2023-03-14,55,3,14,1
2023-03-14,55,3,14,1
2023-03-14,55,3,14,1
2023-03-15,50,3,15,2
2023-03-15,50,3,15,2
2023-03-15,50,3,15,2
2023-03-15,50,3,15,2
2023-03-15,50,3,15,2
2023-03-15,50,3,15,2
2023-03-16,70,3,16,3
2023-03-16,70,3,16,3
2023-03-16,70,3,16,3
2023-03-16,70,3,16,3
2023-03-16,70,3,16,3
2023-03-16,70,3,16,3
2023-03-17,60,3,17,4
2023-03-17,60,3,17,4
2023-03-17,60,3,17,4
2023-03-17,60,3,17,4
2023-03-17,60,3,17,4
2023-03-17,60,3,17,4
2023-03-18,75,3,18,5
2023-03-18,75,3,18,5
2023-03-18,75,3,18,5
2023-03-18,75,3,18,5
2023-03-18,75,3,18,5
2023-03-18,75,3,18,5
2023-03-19,51,3,19,6
2023-03-19,51,3,19,6
2023-03-19,51,3,19,6
2023-03-19,51,3,19,6
2023-03-19,51,3,19,6
2023-03-19,51,3,19,6
2023-03-20,75,3,20,0
2023-03-20,75,3,20,0
2023-03-20,75,3,20,0
2023-03-20,75,3,20,0
2023-03-20,75,3,20,0
2023-03-20,75,3,20,0
2023-03-21,64,3,21,1
2023-03-21,64,3,21,1
2023-03-21,64,3,21,1
2023-03-21,64,3,21,1
2023-03-21,64,3,21,1
2023-03-21,64,3,21,1
2023-03-22,69,3,22,2
2023-03-22,69,3,22,2
2023-03-22,69,3,22,2
2023-03-22,69,3,22,2
2023-03-22,69,3,22,2
2023-03-22,69,3,22,2
2023-03-23,55,3,23,3
2023-03-23,55,3,23,3
2023-03-23,55,3,23,3
2023-03-23,55,3,23,3
2023-03-23,55,3,23,3
2023-03-23,55,3,23,3
2023-03-24,55,3,24,4
2023-03-24,55,3,24,4
2023-03-24,55,3,24,4
2023-03-24,55,3,24,4
2023-03-24,55,3,24,4
2023-03-24,55,3,24,4
2023-03-25,72,3,25,5
2023-03-25,72,3,25,5
2023-03-25,72,3,25,5
2023-03-25,72,3,25,5
2023-03-25,72,3,25,5
2023-03-25,72,3,25,5
2023-03-26,79,3,26,6
2023-03-26,79,3,26,6
2023-03-26,79,3,26,6
2023-03-26,79,3,26,6
2023-03-26,79,3,26,6
2023-03-26,79,3,26,6
2023-03-27,65,3,27,0
2023-03-27,65,3,27,0
2023-03-27,65,3,27,0
2023-03-27,65,3,27,0
2023-03-27,65,3,27,0
2023-03-27,65,3,27,0
2023-03-28,66,3,28,1
2023-03-28,66,3,28,1
2023-03-28,66,3,28,1
2023-03-28,66,3,28,1
2023-03-28,66,3,28,1
2023-03-28,66,3,28,1
2023-03-29,64,3,29,2
2023-03-29,64,3,29,2
2023-03-29,64,3,29,2
2023-03-29,64,3,29,2
2023-03-29,64,3,29,2
2023-03-29,64,3,29,2
2023-03-30,51,3,30,3
2023-03-30,51,3,30,3
2023-03-30,51,3,30,3
2023-03-30,51,3,30,3
2023-03-30,51,3,30,3
2023-03-30,51,3,30,3
2023-03-31,74,3,31,4
2023-03-31,74,3,31,4
2023-03-31,74,3,31,4
2023-03-31,74,3,31,4
2023-03-31,74,3,31,4
2023-03-31,74,3,31,4
2023-04-01,77,4,1,5
2023-04-01,77,4,1,5
2023-04-01,77,4,1,5
2023-04-01,77,4,1,5
2023-04-01,77,4,1,5
2023-04-01,77,4,1,5
2023-04-02,58,4,2,6
2023-04-02,58,4,2,6
2023-04-02,58,4,2,6
2023-04-02,58,4,2,6
2023-04-02,58,4,2,6
2023-04-02,58,4,2,6
2023-04-03,58,4,3,0
2023-04-03,58,4,3,0
2023-04-03,58,4,3,0
2023-04-03,58,4,3,0
2023-04-03,58,4,3,0
2023-04-03,58,4,3,0
2023-04-04,67,4,4,1
2023-04-04,67,4,4,1
2023-04-04,67,4,4,1
2023-04-04,67,4,4,1
2023-04-04,67,4,4,1
2023-04-04,67,4,4,1
2023-04-05,75,4,5,2
2023-04-05,75,4,5,2
2023-04-05,75,4,5,2
2023-04-05,75,4,5,2
2023-04-05,75,4,5,2
2023-04-05,75,4,5,2
2023-04-06,59,4,6,3
2023-04-06,59,4,6,3
2023-04-06,59,4,6,3
2023-04-06,59,4,6,3
2023-04-06,59,4,6,3
2023-04-06,59,4,6,3
2023-04-07,60,4,7,4
2023-04-07,60,4,7,4
2023-04-07,60,4,7,4
2023-04-07,60,4,7,4
2023-04-07,60,4,7,4
2023-04-07,60,4,7,4
2023-04-08,77,4,8,5
2023-04-08,77,4,8,5
2023-04-08,77,4,8,5
2023-04-08,77,4,8,5
2023-04-08,77,4,8,5
2023-04-08,77,4,8,5
2023-04-09,51,4,9,6
2023-04-09,51,4,9,6
2023-04-09,51,4,9,6
2023-04-09,51,4,9,6
2023-04-09,51,4,9,6
2023-04-09,51,4,9,6
2023-04-10,58,4,10,0
2023-04-10,58,4,10,0
2023-04-10,58,4,10,0
2023-04-10,58,4,10,0
2023-04-10,58,4,10,0
2023-04-10,58,4,10,0
2023-04-11,78,4,11,1
2023-04-11,78,4,11,1
2023-04-11,78,4,11,1
2023-04-11,78,4,11,1
2023-04-11,78,4,11,1
2023-04-11,78,4,11,1
2023-04-12,52,4,12,2
2023-04-12,52,4,12,2
2023-04-12,52,4,12,2
2023-04-12,52,4,12,2
2023-04-12,52,4,12,2
2023-04-12,52,4,12,2
2023-04-13,51,4,13,3
2023-04-13,51,4,13,3
2023-04-13,51,4,13,3
2023-04-13,51,4,13,3
2023-04-13,51,4,13,3
2023-04-13,51,4,13,3
2023-04-14,72,4,14,4
2023-04-14,72,4,14,4
2023-04-14,72,4,14,4
2023-04-14,72,4,14,4
2023-04-14,72,4,14,4
2023-04-14,72,4,14,4
2023-04-15,58,4,15,5
2023-04-15,58,4,15,5
2023-04-15,58,4,15,5
2023-04-15,58,4,15,5
2023-04-15,58,4,15,5
2023-04-15,58,4,15,5
2023-04-16,55,4,16,6
2023-04-16,55,4,16,6
2023-04-16,55,4,16,6
2023-04-16,55,4,16,6
2023-04-16,55,4,16,6
2023-04-16,55,4,16,6
2023-04-17,64,4,17,0
2023-04-17,64,4,17,0
2023-04-17,64,4,17,0
2023-04-17,64,4,17,0
2023-04-17,64,4,17,0
2023-04-17,64,4,17,0
2023-04-18,53,4,18,1
2023-04-18,53,4,18,1
2023-04-18,53,4,18,1
2023-04-18,53,4,18,1
2023-04-18,53,4,18,1
2023-04-18,53,4,18,1
2023-04-19,76,4,19,2
2023-04-19,76,4,19,2
2023-04-19,76,4,19,2
2023-04-19,76,4,19,2
2023-04-19,76,4,19,2
2023-04-19,76,4,19,2
2023-04-20,72,4,20,3
2023-04-20,72,4,20,3
2023-04-20,72,4,20,3
2023-04-20,72,4,20,3
2023-04-20,72,4,20,3
2023-04-20,72,4,20,3
2023-04-21,76,4,21,4
2023-04-21,76,4,21,4
2023-04-21,76,4,21,4
2023-04-21,76,4,21,4
2023-04-21,76,4,21,4
2023-04-21,76,4,21,4
2023-04-22,62,4,22,5
2023-04-22,62,4,22,5
2023-04-22,62,4,22,5
2023-04-22,62,4,22,5
2023-04-22,62,4,22,5
2023-04-22,62,4,22,5
2023-04-23,61,4,23,6
2023-04-23,61,4,23,6
2023-04-23,61,4,23,6
2023-04-23,61,4,23,6
2023-04-23,61,4,23,6
2023-04-23,61,4,23,6
2023-04-24,67,4,24,0
2023-04-24,67,4,24,0
2023-04-24,67,4,24,0
2023-04-24,67,4,24,0
2023-04-24,67,4,24,0
2023-04-24,67,4,24,0
2023-04-25,71,4,25,1
2023-04-25,71,4,25,1
2023-04-25,71,4,25,1
2023-04-25,71,4,25,1
2023-04-25,71,4,25,1
2023-04-25,71,4,25,1
2023-04-26,61,4,26,2
2023-04-26,61,4,26,2
2023-04-26,61,4,26,2
2023-04-26,61,4,26,2
2023-04-26,61,4,26,2
2023-04-26,61,4,26,2
2023-04-27,69,4,27,3
2023-04-27,69,4,27,3
2023-04-27,69,4,27,3
2023-04-27,69,4,27,3
2023-04-27,69,4,27,3
2023-04-27,69,4,27,3
2023-04-28,70,4,28,4
2023-04-28,70,4,28,4
2023-04-28,70,4,28,4
2023-04-28,70,4,28,4
2023-04-28,70,4,28,4
2023-04-28,70,4,28,4
2023-04-29,78,4,29,5
2023-04-29,78,4,29,5
2023-04-29,78,4,29,5
2023-04-29,78,4,29,5
2023-04-29,78,4,29,5
2023-04-29,78,4,29,5
2023-04-30,69,4,30,6
2023-04-30,69,4,30,6
2023-04-30,69,4,30,6
2023-04-30,69,4,30,6
2023-04-30,69,4,30,6
2023-04-30,69,4,30,6
2023-05-01,57,5,1,0
2023-05-01,57,5,1,0
2023-05-01,57,5,1,0
2023-05-01,57,5,1,0
2023-05-01,57,5,1,0
2023-05-01,57,5,1,0
2023-05-02,56,5,2,1
2023-05-02,56,5,2,1
2023-05-02,56,5,2,1
2023-05-02,56,5,2,1
2023-05-02,56,5,2,1
2023-05-02,56,5,2,1
2023-05-03,75,5,3,2
2023-05-03,75,5,3,2
2023-05-03,75,5,3,2
2023-05-03,75,5,3,2
2023-05-03,75,5,3,2
2023-05-03,75,5,3,2
2023-05-04,52,5,4,3
2023-05-04,52,5,4,3
2023-05-04,52,5,4,3
2023-05-04,52,5,4,3
2023-05-04,52,5,4,3
2023-05-04,52,5,4,3
2023-05-05,73,5,5,4
2023-05-05,73,5,5,4
2023-05-05,73,5,5,4
2023-05-05,73,5,5,4
2023-05-05,73,5,5,4
2023-05-05,73,5,5,4
2023-05-06,62,5,6,5
2023-05-06,62,5,6,5
2023-05-06,62,5,6,5
2023-05-06,62,5,6,5
2023-05-06,62,5,6,5
2023-05-06,62,5,6,5
2023-05-07,71,5,7,6
2023-05-07,71,5,7,6
2023-05-07,71,5,7,6
2023-05-07,71,5,7,6
2023-05-07,71,5,7,6
2023-05-07,71,5,7,6
2023-05-08,69,5,8,0
2023-05-08,69,5,8,0
2023-05-08,69,5,8,0
2023-05-08,69,5,8,0
2023-05-08,69,5,8,0
2023-05-08,69,5,8,0
2023-05-09,65,5,9,1
2023-05-09,65,5,9,1
2023-05-09,65,5,9,1
2023-05-09,65,5,9,1
2023-05-09,65,5,9,1
2023-05-09,65,5,9,1
2023-05-10,59,5,10,2
2023-05-10,59,5,10,2
2023-05-10,59,5,10,2
2023-05-10,59,5,10,2
2023-05-10,59,5,10,2
2023-05-10,59,5,10,2
2023-05-11,64,5,11,3
2023-05-11,64,5,11,3
2023-05-11,64,5,11,3
2023-05-11,64,5,11,3
2023-05-11,64,5,11,3
2023-05-11,64,5,11,3
2023-05-12,78,5,12,4
2023-05-12,78,5,12,4
2023-05-12,78,5,12,4
2023-05-12,78,5,12,4
2023-05-12,78,5,12,4
2023-05-12,78,5,12,4
2023-05-13,55,5,13,5
2023-05-13,55,5,13,5
2023-05-13,55,5,13,5
2023-05-13,55,5,13,5
2023-05-13,55,5,13,5
2023-05-13,55,5,13,5
2023-05-14,59,5,14,6
2023-05-14,59,5,14,6
2023-05-14,59,5,14,6
2023-05-14,59,5,14,6
2023-05-14,59,5,14,6
2023-05-14,59,5,14,6
2023-05-15,65,5,15,0
2023-05-15,65,5,15,0
2023-05-15,65,5,15,0
2023-05-15,65,5,15,0
2023-05-15,65,5,15,0
2023-05-15,65,5,15,0
2023-05-16,65,5,16,1
2023-05-16,65,5,16,1
2023-05-16,65,5,16,1
2023-05-16,65,5,16,1
2023-05-16,65,5,16,1
2023-05-16,65,5,16,1
2023-05-17,63,5,17,2
2023-05-17,63,5,17,2
2023-05-17,63,5,17,2
2023-05-17,63,5,17,2
2023-05-17,63,5,17,2
2023-05-17,63,5,17,2
2023-05-18,61,5,18,3
2023-05-18,61,5,18,3
2023-05-18,61,5,18,3
2023-05-18,61,5,18,3
2023-05-18,61,5,18,3
2023-05-18,61,5,18,3
2023-05-19,64,5,19,4
2023-05-19,64,5,19,4
2023-05-19,64,5,19,4
2023-05-19,64,5,19,4
2023-05-19,64,5,19,4
2023-05-19,64,5,19,4
2023-05-20,50,5,20,5
2023-05-20,50,5,20,5
2023-05-20,50,5,20,5
2023-05-20,50,5,20,5
2023-05-20,50,5,20,5
2023-05-20,50,5,20,5
2023-05-21,55,5,21,6
2023-05-21,55,5,21,6
2023-05-21,55,5,21,6
2023-05-21,55,5,21,6
2023-05-21,55,5,21,6
2023-05-21,55,5,21,6
2023-05-22,73,5,22,0
2023-05-22,73,5,22,0
2023-05-22,73,5,22,0
2023-05-22,73,5,22,0
2023-05-22,73,5,22,0
2023-05-22,73,5,22,0
2023-05-23,68,5,23,1
2023-05-23,68,5,23,1
2023-05-23,68,5,23,1
2023-05-23,68,5,23,1
2023-05-23,68,5,23,1
2023-05-23,68,5,23,1
2023-05-24,56,5,24,2
2023-05-24,56,5,24,2
2023-05-24,56,5,24,2
2023-05-24,56,5,24,2
2023-05-24,56,5,24,2
2023-05-24,56,5,24,2
2023-05-25,78,5,25,3
2023-05-25,78,5,25,3
2023-05-25,78,5,25,3
2023-05-25,78,5,25,3
2023-05-25,78,5,25,3
2023-05-25,78,5,25,3
2023-05-26,60,5,26,4
2023-05-26,60,5,26,4
2023-05-26,60,5,26,4
2023-05-26,60,5,26,4
2023-05-26,60,5,26,4
2023-05-26,60,5,26,4
2023-05-27,75,5,27,5
2023-05-27,75,5,27,5
2023-05-27,75,5,27,5
2023-05-27,75,5,27,5
2023-05-27,75,5,27,5
2023-05-27,75,5,27,5
2023-05-28,54,5,28,6
2023-05-28,54,5,28,6
2023-05-28,54,5,28,6
2023-05-28,54,5,28,6
2023-05-28,54,5,28,6
2023-05-28,54,5,28,6
2023-05-29,59,5,29,0
2023-05-29,59,5,29,0
2023-05-29,59,5,29,0
2023-05-29,59,5,29,0
2023-05-29,59,5,29,0
2023-05-29,59,5,29,0
2023-05-30,77,5,30,1
2023-05-30,77,5,30,1
2023-05-30,77,5,30,1
2023-05-30,77,5,30,1
2023-05-30,77,5,30,1
2023-05-30,77,5,30,1
2023-05-31,72,5,31,2
2023-05-31,72,5,31,2
2023-05-31,72,5,31,2
2023-05-31,72,5,31,2
2023-05-31,72,5,31,2
2023-05-31,72,5,31,2
2023-06-01,84,6,1,3
2023-06-01,84,6,1,3
2023-06-01,84,6,1,3
2023-06-01,84,6,1,3
2023-06-01,84,6,1,3
2023-06-01,84,6,1,3
2023-06-02,99,6,2,4
2023-06-02,99,6,2,4
2023-06-02,99,6,2,4
2023-06-02,99,6,2,4
2023-06-02,99,6,2,4
2023-06-02,99,6,2,4
2023-06-03,110,6,3,5
2023-06-03,110,6,3,5
2023-06-03,110,6,3,5
2023-06-03,110,6,3,5
2023-06-03,110,6,3,5
2023-06-03,110,6,3,5
2023-06-04,104,6,4,6
2023-06-04,104,6,4,6
2023-06-04,104,6,4,6
2023-06-04,104,6,4,6
2023-06-04,104,6,4,6
2023-06-04,104,6,4,6
2023-06-05,106,6,5,0
